failure_id,machine_id,failure_date,detection_method,failure_type,failure_severity,root_cause,repair_start,repair_end,mttr_hours,parts_replaced,parts_cost_eur,labor_hours,labor_cost_eur,production_loss_eur,total_cost_eur,technician_id,preventable,notes
F-00001,M-001,2024-03-10 00:00:00,ALARM,HYDRAULIC,MAJOR,DESIGN_FLAW,2024-03-10 00:00:00,2024-03-10 04:04:59,4.08,5,8565.85,5.28,448.38,6357.96,15372.19,TECH-20,True,Intervention sur PRESS - HYDRAULIC
F-00002,M-001,2024-06-25 00:00:00,QUALITY_ISSUE,SOFTWARE,CRITICAL,VIBRATION,2024-06-25 00:00:00,2024-06-25 02:22:08,2.37,1,588.53,4.49,381.77,5052.31,6022.61,TECH-03,True,Intervention sur PRESS - SOFTWARE
F-00003,M-001,2024-09-11 00:00:00,OPERATOR_REPORT,PNEUMATIC,MINOR,OVERHEATING,2024-09-11 00:00:00,2024-09-11 01:38:55,1.65,3,13308.46,2.18,185.62,4136.54,17630.62,TECH-15,False,Intervention sur PRESS - PNEUMATIC
F-00004,M-001,2024-12-12 00:00:00,OPERATOR_REPORT,SENSOR,CRITICAL,CALIBRATION,2024-12-12 00:00:00,2024-12-12 01:08:41,1.14,5,10338.05,1.82,154.66,2672.43,13165.14,TECH-02,True,Intervention sur PRESS - SENSOR
F-00005,M-002,2024-02-26 00:00:00,ALARM,HYDRAULIC,MINOR,DESIGN_FLAW,2024-02-26 00:00:00,2024-02-26 08:20:56,8.35,3,6744.5,10.88,924.95,17242.32,24911.77,TECH-03,False,Intervention sur PRESS - HYDRAULIC
F-00006,M-002,2024-04-01 00:00:00,SCHEDULED_CHECK,PNEUMATIC,CRITICAL,EXTERNAL_FACTOR,2024-04-01 00:00:00,2024-04-01 02:09:05,2.15,4,6556.56,2.78,236.31,2241.26,9034.13,TECH-23,False,Intervention sur PRESS - PNEUMATIC
F-00007,M-002,2024-05-12 00:00:00,OPERATOR_REPORT,PNEUMATIC,MINOR,DESIGN_FLAW,2024-05-12 00:00:00,2024-05-12 02:02:52,2.05,2,5422.94,3.0,255.27,2736.57,8414.79,TECH-25,False,Intervention sur PRESS - PNEUMATIC
F-00008,M-002,2024-07-25 00:00:00,QUALITY_ISSUE,SOFTWARE,MAJOR,EXTERNAL_FACTOR,2024-07-25 00:00:00,2024-07-25 01:27:15,1.45,5,2716.61,2.63,223.4,1673.41,4613.43,TECH-15,False,Intervention sur PRESS - SOFTWARE
F-00009,M-002,2024-11-12 00:00:00,OPERATOR_REPORT,HYDRAULIC,MAJOR,ELECTRICAL_SHORT,2024-11-12 00:00:00,2024-11-12 06:05:43,6.1,1,7856.38,8.83,750.4,11604.7,20211.48,TECH-21,True,Intervention sur PRESS - HYDRAULIC
F-00010,M-003,2024-04-18 00:00:00,QUALITY_ISSUE,SENSOR,MINOR,VIBRATION,2024-04-18 00:00:00,2024-04-18 01:50:37,1.84,1,12242.33,3.17,269.8,3029.49,15541.61,TECH-15,True,Intervention sur PRESS - SENSOR
F-00011,M-003,2024-06-30 00:00:00,QUALITY_ISSUE,SOFTWARE,MAJOR,SENSOR_DRIFT,2024-06-30 00:00:00,2024-06-30 03:22:56,3.38,5,9342.18,5.04,428.7,9591.99,19362.87,TECH-02,False,Intervention sur PRESS - SOFTWARE
F-00012,M-003,2024-08-07 00:00:00,ALARM,HYDRAULIC,MAJOR,ELECTRICAL_SHORT,2024-08-07 00:00:00,2024-08-07 04:59:20,4.99,4,13162.56,7.32,621.98,10803.64,24588.17,TECH-05,True,Intervention sur PRESS - HYDRAULIC
F-00013,M-004,2024-03-10 00:00:00,QUALITY_ISSUE,SENSOR,MINOR,SENSOR_DRIFT,2024-03-10 00:00:00,2024-03-10 01:44:36,1.74,1,10438.51,2.83,240.24,3996.05,14674.79,TECH-12,False,Intervention sur PRESS - SENSOR
F-00014,M-004,2024-05-02 00:00:00,OPERATOR_REPORT,ELECTRICAL,MINOR,SENSOR_DRIFT,2024-05-02 00:00:00,2024-05-02 03:17:54,3.3,5,11927.74,5.3,450.32,6859.3,19237.36,TECH-05,False,Intervention sur PRESS - ELECTRICAL
F-00015,M-004,2024-06-20 00:00:00,SCHEDULED_CHECK,ELECTRICAL,MINOR,OPERATOR_ERROR,2024-06-20 00:00:00,2024-06-20 03:04:42,3.08,2,5782.34,5.47,464.65,9048.37,15295.36,TECH-18,True,Intervention sur PRESS - ELECTRICAL
F-00016,M-004,2024-08-28 00:00:00,ALARM,PNEUMATIC,CRITICAL,EXTERNAL_FACTOR,2024-08-28 00:00:00,2024-08-28 02:08:27,2.14,2,11782.8,3.43,291.58,3933.41,16007.79,TECH-09,True,Intervention sur PRESS - PNEUMATIC
F-00017,M-004,2024-12-18 00:00:00,ALARM,PNEUMATIC,MAJOR,OVERHEATING,2024-12-18 00:00:00,2024-12-18 02:41:30,2.69,2,11565.19,3.82,324.49,7565.56,19455.25,TECH-15,False,Intervention sur PRESS - PNEUMATIC
F-00018,M-004,2025-01-20 00:00:00,ALARM,PNEUMATIC,CRITICAL,WEAR,2025-01-20 00:00:00,2025-01-20 02:59:20,2.99,3,13996.98,5.59,475.45,6874.58,21347.01,TECH-16,True,Intervention sur PRESS - PNEUMATIC
F-00019,M-004,2025-05-20 00:00:00,SCHEDULED_CHECK,PNEUMATIC,CRITICAL,ELECTRICAL_SHORT,2025-05-20 00:00:00,2025-05-20 01:30:42,1.51,1,11044.9,2.45,208.47,1848.04,13101.41,TECH-02,True,Intervention sur PRESS - PNEUMATIC
F-00020,M-004,2025-08-11 00:00:00,QUALITY_ISSUE,SOFTWARE,CRITICAL,EXTERNAL_FACTOR,2025-08-11 00:00:00,2025-08-11 00:35:25,0.59,3,7972.95,0.82,69.93,759.93,8802.81,TECH-08,False,Intervention sur PRESS - SOFTWARE
F-00021,M-005,2024-02-23 00:00:00,OPERATOR_REPORT,SOFTWARE,MINOR,CALIBRATION,2024-02-23 00:00:00,2024-02-23 04:49:30,4.83,3,7860.53,5.87,498.85,13253.38,21612.76,TECH-09,True,Intervention sur PRESS - SOFTWARE
F-00022,M-005,2024-05-08 00:00:00,ALARM,MECHANICAL,MINOR,OPERATOR_ERROR,2024-05-08 00:00:00,2024-05-08 04:04:07,4.07,4,1142.87,6.66,566.09,10688.85,12397.81,TECH-21,True,Intervention sur PRESS - MECHANICAL
F-00023,M-006,2024-02-17 00:00:00,QUALITY_ISSUE,MECHANICAL,MAJOR,WEAR,2024-02-17 00:00:00,2024-02-17 06:17:46,6.3,2,5076.14,9.12,774.98,11310.92,17162.04,TECH-10,False,Intervention sur PRESS - MECHANICAL
F-00024,M-006,2024-03-24 00:00:00,QUALITY_ISSUE,SOFTWARE,MAJOR,DESIGN_FLAW,2024-03-24 00:00:00,2024-03-24 05:25:13,5.42,3,6106.35,10.73,911.8,10799.85,17818.0,TECH-03,False,Intervention sur PRESS - SOFTWARE
F-00025,M-007,2024-02-10 00:00:00,QUALITY_ISSUE,PNEUMATIC,MAJOR,OPERATOR_ERROR,2024-02-10 00:00:00,2024-02-10 01:38:32,1.64,1,4944.19,2.76,234.83,3042.15,8221.17,TECH-24,False,Intervention sur PRESS - PNEUMATIC
F-00026,M-007,2024-05-28 00:00:00,ALARM,PNEUMATIC,MINOR,OPERATOR_ERROR,2024-05-28 00:00:00,2024-05-28 01:09:00,1.15,1,12115.89,2.01,170.44,3341.65,15627.99,TECH-05,True,Intervention sur PRESS - PNEUMATIC
F-00027,M-009,2024-03-01 00:00:00,SCHEDULED_CHECK,SOFTWARE,MAJOR,SENSOR_DRIFT,2024-03-01 00:00:00,2024-03-01 05:43:06,5.72,3,5894.19,10.35,880.02,12282.51,19056.72,TECH-08,True,Intervention sur PRESS - SOFTWARE
F-00028,M-009,2024-04-03 00:00:00,QUALITY_ISSUE,SOFTWARE,CRITICAL,OVERHEATING,2024-04-03 00:00:00,2024-04-03 04:22:19,4.37,2,3611.27,7.39,627.88,10440.66,14679.82,TECH-03,False,Intervention sur PRESS - SOFTWARE
F-00029,M-009,2024-05-25 00:00:00,ALARM,SOFTWARE,MINOR,VIBRATION,2024-05-25 00:00:00,2024-05-25 02:24:39,2.41,3,1441.62,3.94,334.79,6708.55,8484.96,TECH-17,True,Intervention sur PRESS - SOFTWARE
F-00030,M-009,2024-07-09 00:00:00,OPERATOR_REPORT,ELECTRICAL,MAJOR,CALIBRATION,2024-07-09 00:00:00,2024-07-09 01:42:36,1.71,4,14753.67,2.23,189.53,4734.7,19677.91,TECH-17,False,Intervention sur PRESS - ELECTRICAL
F-00031,M-010,2024-03-23 00:00:00,ALARM,SENSOR,CRITICAL,CALIBRATION,2024-03-23 00:00:00,2024-03-23 01:31:12,1.52,5,13230.42,2.77,235.71,3465.35,16931.48,TECH-02,True,Intervention sur PRESS - SENSOR
F-00032,M-010,2024-06-27 00:00:00,SCHEDULED_CHECK,ELECTRICAL,CRITICAL,ELECTRICAL_SHORT,2024-06-27 00:00:00,2024-06-27 01:29:09,1.49,5,4618.7,1.88,159.53,2069.27,6847.5,TECH-18,True,Intervention sur PRESS - ELECTRICAL
F-00033,M-010,2024-09-29 00:00:00,OPERATOR_REPORT,SOFTWARE,CRITICAL,WEAR,2024-09-29 00:00:00,2024-09-29 03:49:41,3.83,5,12716.69,6.32,537.21,10146.71,23400.6,TECH-09,True,Intervention sur PRESS - SOFTWARE
F-00034,M-010,2025-01-10 00:00:00,QUALITY_ISSUE,PNEUMATIC,CRITICAL,WEAR,2025-01-10 00:00:00,2025-01-10 02:05:28,2.09,2,4050.73,3.86,328.1,3789.56,8168.39,TECH-15,False,Intervention sur PRESS - PNEUMATIC
F-00035,M-010,2025-04-11 00:00:00,OPERATOR_REPORT,PNEUMATIC,MAJOR,LUBRICATION,2025-04-11 00:00:00,2025-04-11 02:26:12,2.44,4,14642.92,3.18,270.21,4242.54,19155.67,TECH-04,False,Intervention sur PRESS - PNEUMATIC
F-00036,M-010,2025-07-07 00:00:00,SCHEDULED_CHECK,ELECTRICAL,CRITICAL,VIBRATION,2025-07-07 00:00:00,2025-07-07 01:09:06,1.15,4,13583.51,2.13,181.2,3302.84,17067.54,TECH-17,False,Intervention sur PRESS - ELECTRICAL
F-00037,M-010,2025-10-08 00:00:00,QUALITY_ISSUE,HYDRAULIC,MAJOR,DESIGN_FLAW,2025-10-08 00:00:00,2025-10-08 05:45:09,5.75,1,1205.54,8.2,696.84,12627.38,14529.76,TECH-04,False,Intervention sur PRESS - HYDRAULIC
F-00038,M-010,2025-11-24 00:00:00,SCHEDULED_CHECK,HYDRAULIC,MINOR,EXTERNAL_FACTOR,2025-11-24 00:00:00,2025-11-24 05:33:41,5.56,1,8521.73,7.0,595.09,11170.46,20287.28,TECH-05,True,Intervention sur PRESS - HYDRAULIC
F-00039,M-011,2024-03-21 00:00:00,SCHEDULED_CHECK,HYDRAULIC,MAJOR,DESIGN_FLAW,2024-03-21 00:00:00,2024-03-21 09:34:21,9.57,4,7751.13,11.83,1005.9,12196.24,20953.27,TECH-05,True,Intervention sur PRESS - HYDRAULIC
F-00040,M-012,2024-03-12 00:00:00,QUALITY_ISSUE,SENSOR,CRITICAL,SENSOR_DRIFT,2024-03-12 00:00:00,2024-03-12 01:23:26,1.39,3,7890.85,2.21,188.16,2956.18,11035.19,TECH-22,True,Intervention sur PRESS - SENSOR
F-00041,M-013,2024-03-24 00:00:00,ALARM,SENSOR,MINOR,WEAR,2024-03-24 00:00:00,2024-03-24 01:23:43,1.4,5,10006.07,2.76,234.56,3009.73,13250.36,TECH-16,True,Intervention sur PRESS - SENSOR
F-00042,M-013,2024-06-29 00:00:00,QUALITY_ISSUE,SOFTWARE,CRITICAL,CALIBRATION,2024-06-29 00:00:00,2024-06-29 03:38:56,3.65,2,10657.55,4.94,419.55,6867.96,17945.06,TECH-14,False,Intervention sur PRESS - SOFTWARE
F-00043,M-013,2024-08-05 00:00:00,SCHEDULED_CHECK,SOFTWARE,MINOR,ELECTRICAL_SHORT,2024-08-05 00:00:00,2024-08-05 02:13:32,2.23,5,3011.15,4.29,365.06,3749.43,7125.64,TECH-16,True,Intervention sur PRESS - SOFTWARE
F-00044,M-013,2024-10-05 00:00:00,SCHEDULED_CHECK,HYDRAULIC,MAJOR,OVERHEATING,2024-10-05 00:00:00,2024-10-05 09:48:37,9.81,5,10722.33,14.26,1212.16,16654.15,28588.64,TECH-22,False,Intervention sur PRESS - HYDRAULIC
F-00045,M-014,2024-03-21 00:00:00,ALARM,HYDRAULIC,MINOR,ELECTRICAL_SHORT,2024-03-21 00:00:00,2024-03-21 05:01:59,5.03,5,6914.45,7.07,601.15,9855.74,17371.35,TECH-23,False,Intervention sur PRESS - HYDRAULIC
F-00046,M-014,2024-05-07 00:00:00,OPERATOR_REPORT,MECHANICAL,MINOR,VIBRATION,2024-05-07 00:00:00,2024-05-07 05:41:38,5.69,1,1261.12,8.72,740.82,13863.42,15865.37,TECH-18,True,Intervention sur PRESS - MECHANICAL
F-00047,M-014,2024-07-28 00:00:00,ALARM,SOFTWARE,MINOR,WEAR,2024-07-28 00:00:00,2024-07-28 02:15:59,2.27,2,9865.52,4.37,371.1,2671.93,12908.56,TECH-14,True,Intervention sur PRESS - SOFTWARE
F-00048,M-014,2024-08-31 00:00:00,SCHEDULED_CHECK,PNEUMATIC,MAJOR,OPERATOR_ERROR,2024-08-31 00:00:00,2024-08-31 02:44:40,2.74,5,4826.69,4.62,392.45,7841.02,13060.15,TECH-17,False,Intervention sur PRESS - PNEUMATIC
F-00049,M-014,2024-10-17 00:00:00,ALARM,SENSOR,CRITICAL,EXTERNAL_FACTOR,2024-10-17 00:00:00,2024-10-17 01:11:18,1.19,4,3199.89,2.13,180.74,3067.82,6448.45,TECH-14,False,Intervention sur PRESS - SENSOR
F-00050,M-014,2024-11-27 00:00:00,SCHEDULED_CHECK,PNEUMATIC,MINOR,EXTERNAL_FACTOR,2024-11-27 00:00:00,2024-11-27 01:38:49,1.65,1,3915.06,2.97,252.44,4790.18,8957.68,TECH-09,False,Intervention sur PRESS - PNEUMATIC
F-00051,M-015,2024-04-28 00:00:00,SCHEDULED_CHECK,ELECTRICAL,MAJOR,EXTERNAL_FACTOR,2024-04-28 00:00:00,2024-04-28 01:21:16,1.35,2,10701.58,1.96,166.82,1672.79,12541.2,TECH-08,True,Intervention sur PRESS - ELECTRICAL
F-00052,M-016,2024-04-01 00:00:00,OPERATOR_REPORT,ELECTRICAL,MINOR,OPERATOR_ERROR,2024-04-01 00:00:00,2024-04-01 03:57:59,3.97,5,12128.93,7.38,627.27,10010.37,22766.56,TECH-23,False,Intervention sur PRESS - ELECTRICAL
F-00053,M-016,2024-05-10 00:00:00,QUALITY_ISSUE,SENSOR,CRITICAL,DESIGN_FLAW,2024-05-10 00:00:00,2024-05-10 01:18:17,1.3,4,12890.05,2.03,172.32,3080.55,16142.91,TECH-02,False,Intervention sur PRESS - SENSOR
F-00054,M-016,2024-06-25 00:00:00,OPERATOR_REPORT,SENSOR,CRITICAL,CALIBRATION,2024-06-25 00:00:00,2024-06-25 00:57:44,0.96,3,4189.63,1.16,98.35,1381.61,5669.58,TECH-23,True,Intervention sur PRESS - SENSOR
F-00055,M-016,2024-10-02 00:00:00,QUALITY_ISSUE,MECHANICAL,MAJOR,CALIBRATION,2024-10-02 00:00:00,2024-10-02 07:36:26,7.61,4,11604.5,15.08,1282.07,17434.57,30321.14,TECH-13,False,Intervention sur PRESS - MECHANICAL
F-00056,M-016,2024-11-11 00:00:00,OPERATOR_REPORT,SOFTWARE,CRITICAL,ELECTRICAL_SHORT,2024-11-11 00:00:00,2024-11-11 05:57:38,5.96,4,6199.35,7.76,659.6,17628.34,24487.29,TECH-22,False,Intervention sur PRESS - SOFTWARE
F-00057,M-016,2025-02-17 00:00:00,OPERATOR_REPORT,PNEUMATIC,CRITICAL,LUBRICATION,2025-02-17 00:00:00,2025-02-17 01:33:04,1.55,1,2136.25,2.87,243.62,2852.03,5231.91,TECH-04,True,Intervention sur PRESS - PNEUMATIC
F-00058,M-016,2025-05-15 00:00:00,SCHEDULED_CHECK,SENSOR,CRITICAL,EXTERNAL_FACTOR,2025-05-15 00:00:00,2025-05-15 01:09:30,1.16,3,11438.59,2.11,179.3,1483.12,13101.01,TECH-19,False,Intervention sur PRESS - SENSOR
F-00059,M-017,2024-03-01 00:00:00,QUALITY_ISSUE,HYDRAULIC,MINOR,OPERATOR_ERROR,2024-03-01 00:00:00,2024-03-01 06:38:55,6.65,1,9079.17,11.89,1010.57,8977.59,19067.34,TECH-12,False,Intervention sur PRESS - HYDRAULIC
F-00060,M-017,2024-06-06 00:00:00,QUALITY_ISSUE,HYDRAULIC,CRITICAL,DESIGN_FLAW,2024-06-06 00:00:00,2024-06-06 05:05:57,5.1,4,3767.5,9.62,817.47,6571.38,11156.35,TECH-14,True,Intervention sur PRESS - HYDRAULIC
F-00061,M-017,2024-08-24 00:00:00,OPERATOR_REPORT,ELECTRICAL,CRITICAL,LUBRICATION,2024-08-24 00:00:00,2024-08-24 01:59:26,1.99,5,12526.39,2.47,210.04,3492.51,16228.94,TECH-24,True,Intervention sur PRESS - ELECTRICAL
F-00062,M-017,2024-11-23 00:00:00,ALARM,ELECTRICAL,MINOR,EXTERNAL_FACTOR,2024-11-23 00:00:00,2024-11-23 01:59:56,2.0,2,2201.08,4.0,339.75,3913.52,6454.35,TECH-13,True,Intervention sur PRESS - ELECTRICAL
F-00063,M-017,2025-03-03 00:00:00,QUALITY_ISSUE,HYDRAULIC,MAJOR,LUBRICATION,2025-03-03 00:00:00,2025-03-03 06:44:07,6.74,3,7710.52,8.61,732.19,19954.99,28397.7,TECH-11,False,Intervention sur PRESS - HYDRAULIC
F-00064,M-018,2024-02-05 00:00:00,ALARM,SENSOR,MAJOR,DESIGN_FLAW,2024-02-05 00:00:00,2024-02-05 01:22:33,1.38,3,4780.29,1.87,158.71,2009.08,6948.08,TECH-09,False,Intervention sur PRESS - SENSOR
F-00065,M-018,2024-05-27 00:00:00,OPERATOR_REPORT,SOFTWARE,MINOR,WEAR,2024-05-27 00:00:00,2024-05-27 03:11:08,3.19,1,13795.04,5.2,442.39,7275.02,21512.45,TECH-22,True,Intervention sur PRESS - SOFTWARE
F-00066,M-018,2024-06-26 00:00:00,QUALITY_ISSUE,PNEUMATIC,MINOR,OPERATOR_ERROR,2024-06-26 00:00:00,2024-06-26 01:18:07,1.3,1,1376.53,2.23,189.27,3734.06,5299.86,TECH-01,False,Intervention sur PRESS - PNEUMATIC
F-00067,M-018,2024-07-27 00:00:00,OPERATOR_REPORT,MECHANICAL,MINOR,VIBRATION,2024-07-27 00:00:00,2024-07-27 05:10:35,5.18,2,12189.43,9.98,848.25,6284.45,19322.13,TECH-07,False,Intervention sur PRESS - MECHANICAL
F-00068,M-019,2024-03-16 00:00:00,OPERATOR_REPORT,HYDRAULIC,CRITICAL,CALIBRATION,2024-03-16 00:00:00,2024-03-16 09:42:54,9.72,4,4849.63,18.09,1537.98,11281.48,17669.09,TECH-13,False,Intervention sur PRESS - HYDRAULIC
F-00069,M-019,2024-04-22 00:00:00,OPERATOR_REPORT,SOFTWARE,CRITICAL,LUBRICATION,2024-04-22 00:00:00,2024-04-22 03:36:43,3.61,5,12940.42,4.61,391.87,7427.86,20760.15,TECH-16,False,Intervention sur PRESS - SOFTWARE
F-00070,M-019,2024-05-27 00:00:00,QUALITY_ISSUE,MECHANICAL,CRITICAL,ELECTRICAL_SHORT,2024-05-27 00:00:00,2024-05-27 06:06:23,6.11,2,727.04,8.34,708.89,7867.6,9303.54,TECH-19,True,Intervention sur PRESS - MECHANICAL
F-00071,M-019,2024-09-06 00:00:00,OPERATOR_REPORT,PNEUMATIC,MAJOR,LUBRICATION,2024-09-06 00:00:00,2024-09-06 02:28:46,2.48,1,1637.2,4.45,378.6,4194.6,6210.4,TECH-11,False,Intervention sur PRESS - PNEUMATIC
F-00072,M-019,2024-11-16 00:00:00,SCHEDULED_CHECK,MECHANICAL,CRITICAL,OVERHEATING,2024-11-16 00:00:00,2024-11-16 05:48:17,5.8,1,3193.2,9.69,823.34,10217.18,14233.72,TECH-09,True,Intervention sur PRESS - MECHANICAL
F-00073,M-019,2025-02-02 00:00:00,OPERATOR_REPORT,SOFTWARE,CRITICAL,CALIBRATION,2025-02-02 00:00:00,2025-02-02 05:41:10,5.69,4,6948.67,10.29,874.39,6848.91,14671.97,TECH-18,False,Intervention sur PRESS - SOFTWARE
F-00074,M-019,2025-03-17 00:00:00,ALARM,MECHANICAL,MINOR,DESIGN_FLAW,2025-03-17 00:00:00,2025-03-17 02:32:15,2.54,2,6500.25,4.63,393.3,6216.6,13110.15,TECH-22,False,Intervention sur PRESS - MECHANICAL
F-00075,M-019,2025-05-07 00:00:00,QUALITY_ISSUE,ELECTRICAL,MINOR,EXTERNAL_FACTOR,2025-05-07 00:00:00,2025-05-07 01:48:18,1.81,2,11848.67,2.69,228.46,5214.28,17291.41,TECH-15,True,Intervention sur PRESS - ELECTRICAL
