machine_id,machine_type,manufacturer,model,install_date,age_years,location_zone,criticality,maintenance_contract,last_major_overhaul,planned_replacement_year
M-001,PRESS,Siemens,PRESS-1409,2020-12-09,6,B,MEDIUM,NONE,2022-10,2041
M-002,PRESS,Siemens,PRESS-2535,2010-04-08,16,A,MEDIUM,NONE,2025-04,2032
M-003,PRESS,Schneider,PRESS-1106,2019-03-23,7,D,LOW,PARTIAL,2022-02,2040
M-004,PRESS,Schneider,PRESS-6635,2011-10-09,15,A,HIGH,NONE,2022-07,2027
M-005,PRESS,Schneider,PRESS-6925,2018-10-07,8,A,LOW,PARTIAL,2022-04,2034
M-006,PRESS,Schneider,PRESS-8428,2016-11-27,10,C,LOW,NONE,2024-12,2041
M-007,PRESS,Siemens,PRESS-3803,2020-09-24,6,B,LOW,NONE,2023-11,2040
M-008,PRESS,Siemens,PRESS-4752,2023-01-26,3,C,LOW,NONE,2024-04,2048
M-009,PRESS,Fanuc,PRESS-8517,2017-03-09,9,B,MEDIUM,PARTIAL,2025-10,2038
M-010,PRESS,ABB,PRESS-3266,2015-09-16,11,A,HIGH,FULL,2023-11,2032
M-011,PRESS,Fanuc,PRESS-2040,2022-07-13,4,D,MEDIUM,FULL,2022-11,2045
M-012,PRESS,Schneider,PRESS-6573,2022-02-10,4,D,LOW,NONE,2024-09,2039
M-013,PRESS,Siemens,PRESS-5889,2018-11-17,8,B,MEDIUM,NONE,2022-10,2038
M-014,PRESS,Siemens,PRESS-2832,2017-06-27,9,C,LOW,NONE,2022-02,2039
M-015,PRESS,Siemens,PRESS-9727,2023-03-05,3,D,HIGH,FULL,2024-09,2047
M-016,PRESS,ABB,PRESS-9835,2016-12-23,10,B,HIGH,PARTIAL,2024-08,2039
M-017,PRESS,Siemens,PRESS-5061,2017-04-03,9,C,MEDIUM,NONE,2023-01,2033
M-018,PRESS,Siemens,PRESS-4750,2021-02-02,5,C,LOW,NONE,2025-04,2044
M-019,PRESS,KUKA,PRESS-8744,2012-04-26,14,D,HIGH,FULL,2022-02,2037
M-020,PRESS,Schneider,PRESS-7939,2016-07-15,10,A,MEDIUM,FULL,2022-07,2036
M-021,PRESS,Siemens,PRESS-5073,2022-04-07,4,D,LOW,PARTIAL,2023-02,2044
M-022,PRESS,KUKA,PRESS-2604,2022-01-21,4,A,HIGH,FULL,2023-07,2044
M-023,PRESS,ABB,PRESS-7570,2017-01-06,9,D,LOW,PARTIAL,2024-07,2040
M-024,PRESS,Fanuc,PRESS-3536,2020-04-10,6,B,HIGH,NONE,2022-12,2040
